# DES-SN5YR photometry subset (public data release: DES Collaboration 2024;
# Sanchez et al. 2024; https://github.com/des-science/DES-SN5YR ,
# doi:10.5281/zenodo.12720777). Cosmology-sample SNe Ia (IDSURVEY 10),
# zHEL 0.05-0.65 stratified (all z<0.2 + 25/bin, seed 42); SNANA SMP
# FLUXCAL -> AB mag (27.5 - 2.5 log10 FLUXCAL), SNR >= 3.
# x1/c/mB/mu columns = the release SALT3 fits (DES-Dovekie_Metadata.csv),
# carried for cross-checks only.
snid,z,zhd,mwebv,pkmjd,x1_des,ex1_des,c_des,ec_des,mB_des,mu_des,muerr_des,snrmax,fitprob,n_snr3
1247420,0.15123,0.15026,0.017731480300426483,56548.0234,1.19981,0.2291,-0.02758,0.0208843,19.51672,39.18191,0.10248,221.03511,0.53185,40
1249264,0.55081,0.54968,0.005405748263001442,56549.6523,-0.917499,0.48936,-0.203229,0.0501574,23.04864,42.65559,0.13092,11.70795,0.67627,48
1250017,0.18299,0.18216,0.04870041832327843,56553.9922,0.98829,0.1657,-0.102435,0.0155805,20.02608,39.8153,0.09717,134.0721,0.72499,79
1250034,0.16167,0.16085,0.047172341495752335,56556.4961,-0.602099,0.18622,0.00763868,0.0199552,20.1107,39.40043,0.10649,102.22643,0.62839,72
1253119,0.3201,0.31915,0.007511033210903406,56564.3828,-0.88266,0.34812,-0.16628,0.024678,21.48905,41.11731,0.13077,44.3149,0.5144,25
1253895,0.49331,0.49276,0.01010480709373951,56576.8242,1.77615,0.5388,0.0953874,0.0432808,22.51105,41.89829,0.14609,34.5174,0.40559,36
1253920,0.19599,0.19555,0.009120120666921139,56583.2734,-1.00253,0.21541,-0.0824775,0.020197,20.31879,39.74864,0.108,175.68077,0.9961,64
1254889,0.60613,0.60551,0.008197717368602753,56590.418,-0.558684,0.30236,-0.0731532,0.03149,23.33907,42.81646,0.14019,34.611,0.7942,37
1256680,0.29546,0.29438,0.01963874138891697,56599.2656,-0.451661,0.35321,0.039875,0.0246011,21.94,41.07496,0.18627,37.18655,0.0365175,28
1256701,0.43749,0.43629,0.018257776275277138,56596.332,-0.915967,0.76363,0.10176,0.0873825,23.15653,42.28125,0.22732,13.21592,0.98234,14
1257695,0.18472,0.18383,0.005625742021948099,56613.5078,0.4761,0.12978,-0.103429,0.0134155,20.07949,39.78048,0.0965,127.96896,0.79843,54
1259241,0.10582,0.10543,0.010149543173611164,56621.5195,-1.20437,0.20752,0.0760678,0.0290573,19.31587,38.31943,0.14642,186.07901,0.98304,58
1260159,0.43153,0.43034,0.01898978464305401,56631.7656,-2.4662,0.68433,-0.0171505,0.0874585,22.74438,41.92619,0.20531,23.19748,0.96936,21
1261193,0.19293,0.19246,0.00797748751938343,56646.0977,0.88588,0.16552,0.12817,0.0174458,20.88519,39.86546,0.21984,74.03558,0.0761584,44
