snid,z,mu,emu,x1,ex1,c,ec,salt3_cut,cm_mu,cm_emu,cm_mode,cm_failed,K_syst,mu_lcdm
722,0.0863406,38.25114651278764,0.030327138598957002,-0.29848053441183264,0.1388196406216095,-0.04992080551020861,0.02141480027376054,,,,L,rms_gate,,37.91502362020161
739,0.107638,38.65202676978009,0.035838322635220285,-1.105143859507666,0.13825004575783553,-0.0007991807691736241,0.018411240692545554,,38.7174,0.1302,L,,0.017,38.42492274165518
744,0.128251,39.114546219052855,0.04218643519919987,1.2073947242441614,0.21319611346761844,0.08166064477214591,0.01780183842223379,,38.7731,0.1265,L,,0.0599,38.8346665224273
762,0.191381,40.20983767868108,0.06446695064365712,1.2675759829187614,0.2754802378501723,-0.008601373712435467,0.018815353477772946,,39.8377,0.1275,L,,0.0603,39.78845885734211
774,0.0933312,38.22589765664068,0.028013217132414454,-0.1252891054969827,0.12136266724412509,0.08541303432089109,0.015903608605124752,,38.1022,0.1217,L,,0.0344,38.09440973351493
1032,0.1297552,39.07893154724758,0.059596070055309563,-2.709412176335393,0.17803774180636076,0.07068306471974212,0.02469501861638943,,,,R,no_bracket,,38.862089480621066
1112,0.257608,40.9263335176355,0.2109805144812294,0.5959736174220973,1.1851868861267032,0.02445538122584323,0.04392314257855311,,40.6461,0.2378,S,,0.0634,40.51505757319829
1241,0.0897898,38.217026097555056,0.022341634711735066,-0.5061137830635758,0.06769727655824286,0.05716365841648591,0.008952731076317789,,38.3368,0.1404,S,,0.0811,38.00519163194959
1253,0.263071,40.890864862432025,0.14332718936050332,-0.3831800127941909,0.6653482705379818,-0.11762693407623581,0.03678035850723611,,40.6342,0.2419,L,,0.0451,40.56701745734105
1316,0.217109,40.744441842133114,0.14853007432678453,2.2935122960721968,1.035788806386717,-0.06935683799893899,0.03573320942938595,,40.1947,0.1673,S,,0.0445,40.09479511596122
1371,0.119343,38.807173468296476,0.02548732151328807,0.8675595648286052,0.08611557221726555,-0.08618158999533737,0.007946416301869812,,,,,dm15_provenance,,38.66580288487447
1580,0.184,39.889970183762856,0.05741666246088093,1.0855905262719947,0.23060386049504955,-0.03082967413890908,0.01623370672549267,,39.1572,0.1433,S,,0.0676,39.69353644976166
1794,0.14191,39.57422059567057,0.051347309995003886,1.507255358767515,0.2960462798787036,0.017768100346811033,0.014574436451162583,,,,,dm15_provenance,,39.07336257797478
2017,0.263088,41.18744856853611,0.16823856687323732,1.5958699144327149,0.665350601781682,-0.09764949060871786,0.03680121065491644,,,,,dm15_provenance,,40.567177594703615
2030,0.2336,40.780470823573985,0.1120737175483286,3.999999685620187,0.00016464057856578192,0.22321540373920978,0.042602524121843705,x1,41.9461,0.1872,S,,0.0884,40.273981955691745
2031,0.153,39.51283437815728,0.03633300867959216,0.7255861220369813,0.11646542368728667,-0.11893073516216573,0.011512650656914918,,,,,dm15_provenance,,39.25186638251634
2102,0.0951,38.510876474399026,0.021457790627457434,1.0214764295263379,0.11520163252597992,-0.11999432084513895,0.007644122434171582,,37.9265,0.169,S,,0.0205,38.13777490387358
