# SDSS-II Supernova Survey photometry subset (public data release:
# Sako et al. 2018, PASP 130, 064002;
# https://portal.nersc.gov/project/dessn/SDSS/dataRelease/).
# Spectroscopically confirmed SNe Ia, z 0.05-0.35; SNANA FLUXCAL
# converted to AB magnitudes (27.5 - 2.5 log10 FLUXCAL), SNR > 3.
snid,z,mwebv,peakmjd,n_phot
722,0.0863406,0.026000000536441803,53609.0,72
739,0.107638,0.029100000858306885,53612.11328125,56
744,0.128251,0.05770000070333481,53612.50390625,55
762,0.191381,0.032999999821186066,53625.15625,39
774,0.0933312,0.027000000700354576,53608.0,73
1032,0.1297552,0.0738999992609024,53626.68359375,34
1112,0.257608,0.05209999904036522,53630.09765625,18
1241,0.0897898,0.061400000005960464,53635.4296875,72
1253,0.263071,0.06129999831318855,53634.3828125,22
1316,0.217109,0.0658000037074089,53617.0,21
1371,0.119343,0.045099999755620956,53633.2265625,74
1580,0.184,0.12240000069141388,53633.9609375,49
1794,0.14191,0.08799999952316284,53624.0390625,44
2017,0.263088,0.06700000166893005,53636.08203125,28
2030,0.2336,0.07509999722242355,53615.265625,22
2031,0.153,0.07289999723434448,53636.9453125,56
2102,0.0951,0.08839999884366989,53620.2734375,62
2165,0.288,0.03579999879002571,53634.265625,25
2246,0.1949,0.062300000339746475,53634.21484375,39
2308,0.148,0.033399999141693115,53630.5859375,76
2372,0.180465,0.03020000085234642,53636.6875,45
2422,0.265,0.043800000101327896,53639.7421875,37
2440,0.191139,0.05260000005364418,53634.96875,44
2533,0.34,0.026499999687075615,53640.1953125,24
2561,0.1181294,0.07649999856948853,53639.1796875,77
2635,0.1437,0.09740000218153,53640.26953125,79
2689,0.1614894,0.0333000011742115,53637.0,52
2916,0.1242,0.0771000012755394,53643.75,43
2943,0.2654,0.034299999475479126,53640.34375,22
2992,0.1266043,0.0925000011920929,53641.2578125,61
3080,0.174404,0.04600000008940697,53647.5546875,49
3087,0.16551,0.04430000111460686,53648.88671875,54
3199,0.2511,0.035100001841783524,53647.1875,53
3256,0.108225,0.07540000230073929,53652.51953125,51
3317,0.161011,0.033799998462200165,53646.4375,51
3377,0.2451,0.1023000031709671,53645.80859375,44
3451,0.249841,0.05609999969601631,53645.20703125,38
3452,0.231138,0.05900000035762787,53648.50390625,38
3592,0.0865778,0.02969999983906746,53645.109375,73
3901,0.0628607,0.025100000202655792,53656.7578125,62
4046,0.277,0.03500000014901161,53645.6953125,32
4241,0.332,0.031700000166893005,53638.53515625,23
4524,0.0616,0.12129999697208405,53656.0,72
4679,0.3324,0.029500000178813934,53654.2109375,25
5103,0.161989,0.02850000001490116,53654.66796875,46
5350,0.1754,0.19329999387264252,53658.99609375,28
5391,0.3009,0.10199999809265137,53658.5625,25
5395,0.117,0.0723000019788742,53663.81640625,67
5533,0.220282,0.07329999655485153,53667.421875,29
5549,0.121242,0.03359999880194664,53666.1640625,49
5550,0.156291,0.028200000524520874,53671.4453125,51
5635,0.17979,0.061500001698732376,53661.87890625,28
5717,0.2517,0.02759999968111515,53664.25,34
5736,0.253,0.03779999911785126,53665.6875,59
5751,0.130555,0.021700000390410423,53666.01953125,49
5844,0.3108,0.10660000145435333,53663.41015625,25
5957,0.280304,0.03610000014305115,53666.67578125,38
5966,0.309632,0.026900000870227814,53659.55078125,22
5994,0.187,0.09300000220537186,53665.62890625,38
6057,0.0670718,0.1168999969959259,53663.6875,63
